2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Position
20;0;676;450;-25;;;; ; ; ; ; ; ;;Barkasse
-807;2248;3419;66;5874;13581;38642;12037;3151;5098;5307;9037;4609;11408;11504,00;Girokonto SKB 001
-900431;-889943;-870129;-576948;-562453;-532339;-515986;-498953;-481210;-457724;-438057;-411764;-389988;-367051;-343315,81;Darlehenskonto SKB 004
;;;;;;5900;8304;705;705;705;705;706;5706;33210,05;Sparkonto SKB 003
;;;;;;;;;;;;382;2463;1054,42;Freizeitkonto SKB 000
-212000;-307000;-340000;-335000;-330000;-320000;-320000;-288000;-288000;-258000;-208000;-169000;-169000;-169000;169000,00;Privatdarlehen 006
-757;2298;3469;116;5924;19531;46995;12792;3906;5853;6062;9793;10365;32940;45768,47;Summe Aktiva
;;3055;1171;-3353;5809;13607;27465;-34204;-8886;1947;209;3731;572;22575;Guthabenaufbau
-1112431;-1196943;-1210129;-911948;-892453;-852339;-835986;-786953;-769210;-715724;-646057;-580764;-558988;-536051;-343315,81;Verbindlichkeiten
;;-84511;-13186;298181;19495;40114;16353;49033;17743;53486;69667;65293;21777;22937;Schuldenabbau
-1113168;-1099645;-1069594;-771337;-756749;-710292;-655591;-655161;-646303;-620720;-601045;-570589;-546160;-503111;-466547;Summe (Besitz)
