Kontotyp;Kontoklasse;Kto.-Nr.;Name;Summe
"Gewinn- und Verlustrechnung";"Betr. Erträge";101;"Freizeitbeträge Teilnehmer";780,00
"Gewinn- und Verlustrechnung";"Betr. Erträge";117;"Sonstige Einnahmen";102,00
"Gewinn- und Verlustrechnung";"Betr. Erträge";118;Haben-Zinsen;1,34
"Gewinn- und Verlustrechnung";"Betr. Erträge";102;Vermietung;2940,00
"Gewinn- und Verlustrechnung";Umsatzerlöse;104;"Kollekte Eigenbedarf";12041,66
"Gewinn- und Verlustrechnung";Umsatzerlöse;105;"Sondersammlung eigene Zwecke";1735,50
"Gewinn- und Verlustrechnung";Umsatzerlöse;106;"Kollekte zur Weiterleitung";1997,45
"Gewinn- und Verlustrechnung";Umsatzerlöse;109;"Spende von Freunden";5590,00
"Gewinn- und Verlustrechnung";Umsatzerlöse;110;"Spende von Mitgliedern";143404,88
"Gewinn- und Verlustrechnung";Umsatzerlöse;112;"Verzicht auf Auslagenerstattung";809,21
"Gewinn- und Verlustrechnung";Umsatzerlöse;113;"Spende für Allianz-Mission";3720,00
"Gewinn- und Verlustrechnung";Umsatzerlöse;114;"Spende für Bund FeG";1570,00
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";201;Grundbesitzabgaben;-1649,23
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";202;Heizung;-8084,86
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";203;Strom;-1076,22
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";204;Wasser;-295,42
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";205;Versicherungen;-3033,36
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";206;Reparaturen;-1098,50
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";207;Reinigung;-7227,68
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";208;Investitionen/Anschaffungen;-3199,28
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";219;Kontoführung/Verwaltung;-1071,82
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";221;"Weiterleitung an Bund FeG";-9004,95
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";223;"Weiterleitung an Rheinischer Kreis";-1340,00
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";224;"Weiterleitung Mission";-4810,00
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";225;"Weiterleitung Diakonie";-4330,00
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";229;"Sonstige Arbeitszweige";-795,07
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";209;Bewirtung;576,54
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";210;Geschenke;-404,28
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";211;Schulungen;-400,00
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";212;Veranstaltungen;-1518,20
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";213;Gastprediger;-752,20
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";214;"Arbeit mit Kindern und Jugendlichen";-449,69
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";215;Werbung/Gemeindebrief;-632,98
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";217;Reise/Fortbildung;-1085,19
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";218;Telefon;-483,73
"Gewinn- und Verlustrechnung";"Betr. Aufwendungen";220;Fahrtkosten;-372,30
"Gewinn- und Verlustrechnung";"sonstige Aufwendungen";200;"Zinsen für Darlehen";-15513,49
"Gewinn- und Verlustrechnung";Personalaufwand;216;Pastor;-63591,79
;;;;
"Zeitraum: 01.01.2024 – 31.12.2024";;;;
"Stand: 15.01.2026, 12:16:57";;;;
"Mandant: Eschweiler - 2024";;;;
"Währung: EUR";;;;
